question,answer_llm,answer_orig,document
"Is the Zoom link for the workshop shared with students, or only with the teaching team?","The Zoom link is only published to the instructors/presenters/TAs, not shared directly with students. Students join via YouTube Live and can submit questions in Slido.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram & Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
What’s the best way to follow the live Office Hours stream if I’m a student?,"As a student, the best way is to watch the Office Hours live on the DataTalksClub YouTube channel and use Slido to submit questions. The video link is usually posted in the announcements channel on Telegram and Slack before it starts, and the Slido link is pinned in the live chat.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram & Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Should I type my questions in the live chat during Office Hours, or use something else?","Use **Slido**, not the live chat. The course says students should submit questions to **Slido** during Office Hours/live sessions, and **don’t post questions in chat** because they may be missed if the room is very active.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram & Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"How do the free GPU hours work on these cloud options — is the limit monthly, weekly, or something else?",I don’t know.,"Check the quota and reset cycle carefully. Is the free hours limit per month or per week? Usually, if you change the configuration, the free hours quota might also be adjusted, or it might be billed separately.

Potential options include:

- Google Colab
- Kaggle
- Databricks (possibly)

Consider using GPTs to discover more options. Be aware that some platforms might have restrictions on what you can and cannot install, so ensure to read what is included in the free vs paid tier.",c6c2888275
"If I change the setup or configuration, does that affect the free GPU quota or get billed separately?","Usually, if you change the configuration, the free hours quota might also be adjusted, or it might be billed separately. Check the quota and reset cycle carefully.","Check the quota and reset cycle carefully. Is the free hours limit per month or per week? Usually, if you change the configuration, the free hours quota might also be adjusted, or it might be billed separately.

Potential options include:

- Google Colab
- Kaggle
- Databricks (possibly)

Consider using GPTs to discover more options. Be aware that some platforms might have restrictions on what you can and cannot install, so ensure to read what is included in the free vs paid tier.",c6c2888275
What are some good free or low-cost cloud alternatives with GPU for this course besides the usual ones?,"Some good free or low-cost cloud alternatives with GPU to consider are:

- Google Colab
- Kaggle
- Databricks (possibly)

Also, check the quota and reset cycle carefully, since free limits can vary by month or week, and changing the configuration may affect the free quota or billing.

","Check the quota and reset cycle carefully. Is the free hours limit per month or per week? Usually, if you change the configuration, the free hours quota might also be adjusted, or it might be billed separately.

Potential options include:

- Google Colab
- Kaggle
- Databricks (possibly)

Consider using GPTs to discover more options. Be aware that some platforms might have restrictions on what you can and cannot install, so ensure to read what is included in the free vs paid tier.",c6c2888275
"Can I use Google Colab, Kaggle, or Databricks for the course notebooks and GPU tasks?","Yes — you can consider using **Google Colab, Kaggle, and possibly Databricks** for the course notebooks and GPU tasks.

A couple of cautions:
- **Check the free quota and reset cycle** carefully.
- Free limits may be **per month or per week**, and changing configuration can affect the quota or billing.
- Some platforms have **restrictions on what you can install**, so review the free vs. paid tier details first.

","Check the quota and reset cycle carefully. Is the free hours limit per month or per week? Usually, if you change the configuration, the free hours quota might also be adjusted, or it might be billed separately.

Potential options include:

- Google Colab
- Kaggle
- Databricks (possibly)

Consider using GPTs to discover more options. Be aware that some platforms might have restrictions on what you can and cannot install, so ensure to read what is included in the free vs paid tier.",c6c2888275
"Are there any restrictions on what I can install on these free GPU platforms, and how do I check what’s included in the free plan?","Some free GPU platforms do have restrictions on what you can install, and you should check the free vs. paid tier details carefully before using them.

For the free plan, the context suggests you should verify:
- the **quota and reset cycle** (for example, whether free hours are per month or per week),
- whether changing the **configuration** affects your free quota or triggers separate billing,
- and the platform’s documentation to see **what is included in the free vs. paid tier**.

Potential free GPU options mentioned are:
- Google Colab
- Kaggle
- Databricks (possibly)

I don’t know any more specific restrictions from the provided context.","Check the quota and reset cycle carefully. Is the free hours limit per month or per week? Usually, if you change the configuration, the free hours quota might also be adjusted, or it might be billed separately.

Potential options include:

- Google Colab
- Kaggle
- Databricks (possibly)

Consider using GPTs to discover more options. Be aware that some platforms might have restrictions on what you can and cannot install, so ensure to read what is included in the free vs paid tier.",c6c2888275
How do I find my row on the leaderboard if I can’t see my name right away?,"Click the **""Jump to your record on the leaderboard""** link — it will take you directly to your entry even if you can’t spot your name right away.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Why does the leaderboard show some random nickname instead of my real name?,"When you set up your account, you’re automatically assigned a random display nickname, like “Lucid Elbakyan,” instead of your real name.

If you want to change it, click **Edit Course Profile**:
- **First field** = your nickname/display name shown on the leaderboard
- **Second field** = your official name, which will appear on your certificate

","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check what display name I’m using for the course?,Click on the **“Edit Course Profile”** button. There you can see your **Display name**.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Can I change the name that appears publicly, like to my Slack or GitHub name?","Yes. You can change the public/display name to your Slack username, GitHub username, or any other nickname you want. The first field in your course profile is the nickname shown publicly.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What should I put in the profile fields so my certificate doesn’t use the default random name?,"Put your **official name exactly as it appears on your identification documents** in the **second profile field**. That’s the name that will appear on your certificate.

The **first field** is just your nickname/display name.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Can I do the course at my own pace and still get a certificate at the end?,No. You can only get a certificate if you finish the course with a live cohort. Self-paced mode does not include a certificate.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I take the self-paced version, is there any way to earn the course certificate?",No. You can only earn the course certificate if you complete the course with a live cohort. Certificates are not awarded for the self-paced mode.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do certificates only count for people who finish with the live cohort?,Yes. Certificates are only awarded if you finish the course with a live cohort and complete the required peer reviews. Self-paced mode does not qualify.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why doesn’t the self-paced mode come with a certificate?,"We don't award certificates for the self-paced mode because you need to peer-review 3 capstones after submitting your project. Peer reviews can only happen while the live course is running, after the peer-review list is compiled.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Is peer-review of the capstone project required in order to receive the certificate?,"Yes. Peer-reviewing 3 capstone projects is required to receive the certificate. If you don’t do the required peer reviews, you may fail to get the certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Can I still get the certificate if I skipped the first homework?,Yes. Homework is not mandatory for the certificate — you only need to pass the Capstone project.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Do I have to do all the homework to receive the certificate for this course?,"No. Homework is not mandatory for the certificate. You need to pass the Capstone project to get the certificate, though homework is recommended and counts toward your leaderboard rank.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What do I actually need to pass in order to get the certificate?,You need to pass the **Capstone project** to get the certificate. Homework is **not mandatory**.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Is homework mandatory, or is it just optional practice for the course?","Homework is not mandatory. It’s recommended for practice and the points count toward your leaderboard rank, but you can still get a certificate without doing all the homework as long as you pass the Capstone project.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"If homework isn't required, does it still affect anything like my ranking or points?","Yes. Homework is not mandatory, but the points you earn from it do count toward your rank on the leaderboard.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework content keep changing in this course?,"This course is being offered for the first time, so the homework and materials may keep changing until each module is finalized. Once a module is ready, it will be announced. Working ahead is at your own risk because the final version may differ.","This course is being offered for the first time, and things will keep changing until a given module is ready, at which point it shall be announced. Working on the material or homework in advance will be at your own risk, as the final version could be different.",96286b4be4
"Is the material already finalized, or can it still change later?","It can still change later. The course is being offered for the first time, and the material/homework will keep changing until a module is ready and announced. Working on it in advance is at your own risk because the final version could be different.","This course is being offered for the first time, and things will keep changing until a given module is ready, at which point it shall be announced. Working on the material or homework in advance will be at your own risk, as the final version could be different.",96286b4be4
"If I start working on the homework now, could the final version be different?","Yes. The course material and homework are still changing, and the final version could be different. Working on it now would be at your own risk.","This course is being offered for the first time, and things will keep changing until a given module is ready, at which point it shall be announced. Working on the material or homework in advance will be at your own risk, as the final version could be different.",96286b4be4
How will I know when a module is actually ready and settled?,I don't know.,"This course is being offered for the first time, and things will keep changing until a given module is ready, at which point it shall be announced. Working on the material or homework in advance will be at your own risk, as the final version could be different.",96286b4be4
"Is it safe to do the course work in advance, or should I wait until updates are announced?","Working on the material or homework in advance is **at your own risk**, because the course is still changing and the final version may be different. It’s better to wait for updates to be announced.","This course is being offered for the first time, and things will keep changing until a given module is ready, at which point it shall be announced. Working on the material or homework in advance will be at your own risk, as the final version could be different.",96286b4be4
When is the next time this course will be offered?,Summer 2025.,Summer 2025.,bd31146b0e
Do you know when the next course session starts?,Summer 2025.,Summer 2025.,bd31146b0e
"Will there be another run of this course, and if so, when?",Yes — the course will be offered next in **Summer 2025**.,Summer 2025.,bd31146b0e
What's the next scheduled offering for this course?,Summer 2025.,Summer 2025.,bd31146b0e
Can you tell me when the course is coming back?,Summer 2025.,Summer 2025.,bd31146b0e
Where can I find the course lectures or videos for this class?,"Please check the bookmarks and pinned links, especially DataTalks.Club’s YouTube account.","Please check the bookmarks and pinned links, especially DataTalks.Club’s YouTube account.",31456f4b5f
Are the recordings or lecture videos posted somewhere I can watch them?,"Please check the bookmarks and pinned links, especially DataTalks.Club’s YouTube account.","Please check the bookmarks and pinned links, especially DataTalks.Club’s YouTube account.",31456f4b5f
I’m looking for the videos—should I check the bookmarks or pinned links?,"Please check the bookmarks and pinned links, especially DataTalks.Club’s YouTube account.","Please check the bookmarks and pinned links, especially DataTalks.Club’s YouTube account.",31456f4b5f
Is there a specific YouTube channel for the course lectures?,Yes — the course lectures/live sessions are on the DataTalksClub YouTube Channel: https://www.youtube.com/c/DataTalksClub,"Please check the bookmarks and pinned links, especially DataTalks.Club’s YouTube account.",31456f4b5f
"Where are the lecture videos linked, and what should I check first?","Please check the bookmarks and pinned links first, especially DataTalks.Club’s YouTube account.","Please check the bookmarks and pinned links, especially DataTalks.Club’s YouTube account.",31456f4b5f
Why does WSL2 say the model needs more memory even though my PC has enough RAM?,"WSL2 isn’t using all of your PC’s RAM. It only has access to the amount of memory allocated to WSL2 itself, which may be less than your physical RAM.

To give WSL2 more memory:

1. Create a `.wslconfig` file in your Windows user profile folder:
   `C:\Users\YourUsername\.wslconfig`

2. Add something like:
   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL:
   ```bash
   wsl --shutdown
   ```

4. Check the available memory inside WSL with:
   ```bash
   free
   ```

So the model is complaining about WSL2’s allocated RAM, not your total system RAM.","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
How can I increase the RAM available to WSL2 on Windows for running a model?,"Your WSL2 is likely limited to only part of your PC’s RAM. To increase it:

1. Create a `.wslconfig` file in your Windows user profile folder, for example:
   `C:\Users\YourUsername\.wslconfig`

2. Add something like this to the file:
   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL:
   ```bash
   wsl --shutdown
   ```

4. In WSL, run:
   ```bash
   free
   ```
   to verify the new memory limit.

You can adjust `8GB` to whatever amount you want to allocate.","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
Where should I put a .wslconfig file to give WSL2 more memory?,"Put the `.wslconfig` file in your Windows user profile directory:

`C:\Users\YourUsername\.wslconfig`

Then add something like:

```ini
[wsl2]
memory=8GB
```","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
What do I need to write in .wslconfig to set WSL2 memory to 8GB?,"Write this in your `.wslconfig` file:

```ini
[wsl2]
memory=8GB
```","Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
"After changing WSL2 memory settings, how can I check if the new RAM limit is actually applied?",Run `free` in WSL after you restart it with `wsl --shutdown`. That will let you verify whether the new RAM limit is applied.,"Your WSL2 is set to use Y.Y GiB, not all your computer memory. To allocate more RAM, follow these steps:

1. Create a `.wslconfig` file under your Windows user profile directory: `C:\Users\YourUsername\.wslconfig`.

2. Include the desired RAM allocation in the file:

   ```ini
   [wsl2]
   memory=8GB
   ```

3. Restart WSL using the command:

   ```bash
   wsl --shutdown
   ```

4. Run the `free` command in WSL to verify the changes.

For more details, read [this article](https://www.aleksandrhovhannisyan.com/blog/limiting-memory-usage-in-wsl-2/).",f3dd94f323
Why do I get a 500 server error when I try to log into the homework site with GitHub?,"The GitHub login issue is causing a 500 server error because of a sporadic third-party login failure. You may see:

```text
Third-Party Login Failure
An error occurred while attempting to login via your third-party account.
```

The recommended workaround is to use **Google or Slack** to log in and submit homework answers.","Additional error text seen:

```
Third-Party Login Failure

An error occurred while attempting to login via your third-party account.
```

The current solution is to use Google or Slack to log in and submit homework answers, as the root cause analysis for the GitHub issue is sporadic and doesn’t impact all users.",c774542f32
I see a third-party login failure on the course page — is GitHub login broken right now?,GitHub login is currently having a sporadic third-party login failure for some users. The current workaround is to use Google or Slack to log in and submit homework answers.,"Additional error text seen:

```
Third-Party Login Failure

An error occurred while attempting to login via your third-party account.
```

The current solution is to use Google or Slack to log in and submit homework answers, as the root cause analysis for the GitHub issue is sporadic and doesn’t impact all users.",c774542f32
What should I do if GitHub sign-in fails while submitting homework?,Use Google or Slack to log in and submit the homework answers instead of GitHub. The GitHub login issue is known to be sporadic and doesn’t affect everyone.,"Additional error text seen:

```
Third-Party Login Failure

An error occurred while attempting to login via your third-party account.
```

The current solution is to use Google or Slack to log in and submit homework answers, as the root cause analysis for the GitHub issue is sporadic and doesn’t impact all users.",c774542f32
Is there a workaround for the GitHub login error on the homework portal?,Yes. The workaround is to use **Google or Slack** to log in and submit the homework answers instead of GitHub.,"Additional error text seen:

```
Third-Party Login Failure

An error occurred while attempting to login via your third-party account.
```

The current solution is to use Google or Slack to log in and submit homework answers, as the root cause analysis for the GitHub issue is sporadic and doesn’t impact all users.",c774542f32
"Does the GitHub login issue affect everyone, or can I use another account to submit?","The GitHub login issue does **not** affect everyone — it’s described as **sporadic** and **doesn’t impact all users**.

You can **use Google or Slack to log in and submit homework answers** instead of GitHub.","Additional error text seen:

```
Third-Party Login Failure

An error occurred while attempting to login via your third-party account.
```

The current solution is to use Google or Slack to log in and submit homework answers, as the root cause analysis for the GitHub issue is sporadic and doesn’t impact all users.",c774542f32
"Why aren't we using LangChain in this course, and what should we learn first instead?","We’re not using LangChain in the course because the goal is to learn the basics first. Think of it like learning HTML, CSS, and JavaScript before moving on to React or Angular.

So first, you should learn the core concepts of building LLM-powered apps and RAG directly, without a framework.","Langchain is a framework for building LLM-powered apps. We're not using it to learn the basics; think of it like learning HTML, CSS, and JavaScript before learning React or Angular.",b7cdde6b25
Is there a reason the course skips LangChain for now?,"Yes. The course skips LangChain for now because the goal is to learn the basics first. LangChain is a framework for building LLM-powered apps, and the course treats it like learning HTML, CSS, and JavaScript before moving on to a framework like React or Angular.","Langchain is a framework for building LLM-powered apps. We're not using it to learn the basics; think of it like learning HTML, CSS, and JavaScript before learning React or Angular.",b7cdde6b25
Why start without a framework like LangChain when building LLM apps?,"Because the course wants you to learn the basics first, not rely on a framework abstraction. LangChain is a framework for building LLM apps, and starting without it is like learning HTML, CSS, and JavaScript before moving to React or Angular.","Langchain is a framework for building LLM-powered apps. We're not using it to learn the basics; think of it like learning HTML, CSS, and JavaScript before learning React or Angular.",b7cdde6b25
"Should I learn the basics before using LangChain, and why?","Yes — it’s better to learn the basics first before using LangChain. The course treats LangChain as a framework for building LLM apps, and the idea is to learn the fundamentals first, like learning HTML, CSS, and JavaScript before moving on to React or Angular.","Langchain is a framework for building LLM-powered apps. We're not using it to learn the basics; think of it like learning HTML, CSS, and JavaScript before learning React or Angular.",b7cdde6b25
What’s the idea behind not using LangChain in the course material?,"The idea is to learn the basics first without relying on a framework. LangChain is a framework for building LLM apps, so the course avoids it at the beginning, similar to learning HTML, CSS, and JavaScript before moving on to React or Angular.","Langchain is a framework for building LLM-powered apps. We're not using it to learn the basics; think of it like learning HTML, CSS, and JavaScript before learning React or Angular.",b7cdde6b25
Why do I get an OpenAI API error about insufficient credits when I run `chat.completions.create`?,"You’re getting that error because your OpenAI API account has **insufficient credits / quota**. The context says there is **no free usage of OpenAI’s API**, so `chat.completions.create` will fail until you add billing credits.

To fix it:
1. Add credits to your account (minimum $5).
2. Make sure you’re using a model available to your account.
3. If needed, recreate your API key after adding credits and update it locally.

If you still see a 429/quota error after that, it’s the same underlying issue: your account billing/quota needs to be enabled.","You may receive the following error when running the OpenAI `chat.completions.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
"What does the OpenAI ""Insufficient credits"" message mean in `chat.completions.create`?",It means your OpenAI API account doesn’t have enough billing credits/quota to complete the `chat.completions.create` request. You may need to add credits to your account and/or ensure your API key and model are valid.,"You may receive the following error when running the OpenAI `chat.completions.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
I’m seeing an OpenAI API error about credits when testing chat completions — what should I check?,"Check your OpenAI API account quota and billing. The error usually means you have **insufficient credits / exceeded your current quota**.

What to do:
1. **Add credits** to your OpenAI account (pay-as-you-go, minimum about **$5**).
2. **Verify billing is enabled** in your OpenAI settings.
3. In `chat.completions.create(...)`, make sure you’re using a **model available to your account**.
4. If needed, **recreate your API key** after adding credits and update it locally.

If you’re seeing a `429` / `insufficient_quota` error, it’s the same underlying issue.","You may receive the following error when running the OpenAI `chat.completions.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
