answer_llm,answer_orig,document,question,course
"Yes, everything is recorded so you won’t miss anything. You can catch up on a missed session by watching the recording. Additionally, you can ask questions in advance for office hours and they will be covered during the live stream, or ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Is there a way to catch up on a missed session?,machine-learning-zoomcamp
"Yes, you can still interact with instructors after missing a session. You can ask your questions for office hours in advance and they will be covered during the live stream. Additionally, you can always ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Can I still interact with instructors after missing a session?,machine-learning-zoomcamp
"Based on the information provided in the FAQ, the course will cover the bare minimum of theoretical content. The focus is more on practice, and the theory will be covered only on an intuitive level.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,How much theoretical content is there in the course?,machine-learning-zoomcamp
"No, the course will not cover theoretical derivations like the gradient update rule for logistic regression. The focus is more on practice, and the theory will be covered only on an intuitive level.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Will the course cover theoretical derivations like the gradient update rule for logistic regression?,machine-learning-zoomcamp
The focus of the course is more on practice rather than theory. The course will cover the theory only on an intuitive level while emphasizing practical application.,"The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Is the focus of the course more on practice or theory?,machine-learning-zoomcamp
"Based on the information provided in the context, you can find more about theoretical topics not covered in this course by taking other courses that focus more on theory. This course focuses more on practice and covers theory only on an intuitive level.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Where can I find more about the theoretical topics not covered in this course?,machine-learning-zoomcamp
"Yes, the course will cover how to use logistic regression and make sense of the results, focusing more on practice rather than theory at an intuitive level.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Will the course help me understand how to use logistic regression and interpret its results?,machine-learning-zoomcamp
"No, prior knowledge in math is not strictly necessary for this course. The course will cover some linear algebra but will mainly focus on code rather than formulas.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Is prior knowledge in math necessary for this course?,machine-learning-zoomcamp
"The course will cover some linear algebra, but in general, there will be very few formulas, mostly code. The focus is more on practice, with the theory covered only on an intuitive level.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,What type of mathematical content will be covered?,machine-learning-zoomcamp
"Yes, there are resources available to help with linear algebra. You can watch videos such as ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Additionally, you can always ask the community for help if you have any questions.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Are there resources available to help with linear algebra?,machine-learning-zoomcamp
"Yes, you can seek help from the community for math-related questions while taking the course. If you have any questions, never hesitate to ask the community for help.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Can I seek help from the community for math-related questions?,machine-learning-zoomcamp
"Based on the FAQ database, there are recommended videos for learning linear algebra, such as ""ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev"" and the playlist ""Vectors | Chapter 1, Essence of linear algebra"" from 3Blue1Brown.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Are there any recommended videos for learning linear algebra?,machine-learning-zoomcamp
"If you haven't received a confirmation email after filling out the form, it is recommended to check your promotions tab in Gmail as well as spam. If you have unsubscribed from the newsletter, you may not receive course-related updates. However, joining the #course-ml-zoomcamp channel in Slack and the telegram channel with announcements will ensure you stay updated on the course content.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,What should I do if I haven't received a confirmation email after filling out the form?,machine-learning-zoomcamp
"Yes, it is possible that your confirmation email went to your spam folder. Make sure to check your promotions tab in Gmail as well as your spam folder.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Is it possible my confirmation email went to my spam folder?,machine-learning-zoomcamp
"No, unsubscribing from the newsletter can affect receiving course updates. If you unsubscribe from the newsletter, you won't get course-related updates as well. To ensure you don't miss anything, it is advised to join the #course-ml-zoomcamp channel in Slack and the telegram channel with announcements. These channels are sufficient to follow the course.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Can unsubscribing from the newsletter affect receiving course updates?,machine-learning-zoomcamp
"If you don’t receive the confirmation email, you can stay updated by joining the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course even if you didn't receive the confirmation email.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Where can I get course updates if I don’t receive the confirmation email?,machine-learning-zoomcamp
"If you're having email issues and want to stay informed about the course, you can join the #course-ml-zoomcamp channel in Slack and the telegram channel with announcements. This way, you can still receive course updates and information even if you're not receiving emails.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,How can I stay informed about the course if I'm having email issues?,machine-learning-zoomcamp
"The duration of the course is approximately 4 months, but it may take longer if you choose to do extra activities such as an additional project or article.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,What is the duration of the course?,machine-learning-zoomcamp
"The course takes approximately 4 months to complete, but it may take longer if you choose to do extra activities like an extra project or article.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,How many months does the course take?,machine-learning-zoomcamp
"Based on the information provided in the context, the course is approximately 4 months long, but it may take more time if you choose to do extra activities. So, yes, the course can take more than 4 months if you decide to engage in additional projects or articles.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,Can the course take more than 4 months?,machine-learning-zoomcamp
"Based on the information provided in the context, it is possible to extend the course duration by doing some extra activities such as an extra project or an article. The course typically lasts approximately 4 months, but it may take longer if additional activities are pursued.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,Is it possible to extend the course duration?,machine-learning-zoomcamp
The course may take more than 4 months if you want to do some extra activities like an extra project or an article.,"Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,What extra activities might extend the course time?,machine-learning-zoomcamp
"Based on the information provided in the context, students are recommended to allocate around 10 hours per week for this course.",Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,How many hours per week should I allocate for this course?,machine-learning-zoomcamp
Timur Kamaliev analyzed the time needed for different modules.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Who analyzed the time needed for different modules?,machine-learning-zoomcamp
The students of the previous cohort spent around ~10 hours per week on the course.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,How much time did students of the previous cohort spend weekly?,machine-learning-zoomcamp
"Based on the information provided in the context, students are expected to spend around ~10 hours per week on the course.",Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Can you give an estimated weekly time commitment for the course?,machine-learning-zoomcamp
"Based on the detailed analysis conducted by Timur Kamaliev of the previous cohort, students needed to spend around ~10 hours per week on different modules and projects in the course.",Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Where can I find the detailed analysis of study time requirements?,machine-learning-zoomcamp
"To earn a certificate in this course, you need to submit 2 out of 3 course projects and review 3 peers' projects by the deadline. As long as you meet these requirements, you will receive a certificate, even if you missed the midterm project.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,How can I earn a certificate in this course?,machine-learning-zoomcamp
"To receive a certificate for the course, you need to submit at least 2 out of the 3 projects and review 3 peers' projects for each submission by the deadline. According to the course coordinator, Alexey Grigorev, only two projects are needed to get the course certificate.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,What are the requirements to receive a certificate?,machine-learning-zoomcamp
"No, you do not need to complete all projects to get a certificate. According to the course coordinator, Alexey Grigorev, only two projects need to be submitted to receive the course certificate.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,Do I need to complete all projects to get a certificate?,machine-learning-zoomcamp
The deadline to qualify for the certificate is to finish at least 2 out of 3 projects and review 3 peers' projects by the deadline.,"Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,What is the deadline to qualify for the certificate?,machine-learning-zoomcamp
"No, there is an option for a certificate without a robot image.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,Is there an option for a certificate without a robot image?,machine-learning-zoomcamp
"Yes, you can still receive a certificate even if you don't complete the midterm project. You need to finish at least 2 out of 3 projects and review 3 peers' Projects by the deadline to be eligible for a certificate.","Yes, it's possible. See the previous answer.",1d644223,Will I receive a certificate if I don't complete the midterm project?,machine-learning-zoomcamp
"Based on the context provided, you can still graduate without submitting the midterm project. In order to get a certificate, you need to submit 2 out of 3 course projects and review 3 peers' projects by the deadline. Therefore, as long as you complete the other project requirements, you will still be eligible for a certificate even if you missed the midterm project.","Yes, it's possible. See the previous answer.",1d644223,Can I still graduate without submitting the midterm project?,machine-learning-zoomcamp
"Based on the information provided, you are eligible for certification even if you missed the midterm project. As long as you finish at least 2 out of 3 projects and review 3 peers’ projects by the deadline, you will receive a certificate for the course.","Yes, it's possible. See the previous answer.",1d644223,Am I eligible for certification if I missed the midterm project?,machine-learning-zoomcamp
"No, it is not mandatory to complete the midterm project for the certificate. If you submit at least 2 out of 3 projects and review 3 peers' Projects by the deadline, you will be eligible for a certificate.","Yes, it's possible. See the previous answer.",1d644223,Is it mandatory to complete the midterm project for the certificate?,machine-learning-zoomcamp
"No, missing the midterm project does not affect your certification eligibility. According to the course coordinator, Alexey Grigorev, only two projects are needed to get the course certificate.","Yes, it's possible. See the previous answer.",1d644223,Does missing the midterm project affect my certification eligibility?,machine-learning-zoomcamp
"The Python basics required for this course include knowing how to run a Jupyter notebook, import libraries, declare variables, and perform important operations regarding data analysis.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,What Python basics are required for this course?,machine-learning-zoomcamp
"Based on the FAQ database, you can learn the necessary Python knowledge for the course by reading the article ""Introduction to Python – Machine Learning Bookcamp"" and joining the ""Learn Python Basics for Data Analysis"" course on the OpenClassrooms e-learning platform. It is important to know some basics such as running a Jupyter notebook, importing libraries, declaring variables, and important operations regarding data analysis.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,Where can I learn the necessary Python knowledge for this course?,machine-learning-zoomcamp
"It is important to know how to run a Jupyter notebook for this course because running a python script for training a model, as done with the train.py file, is much simpler than running a notebook. This is how training jobs usually look like in real life.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,Why is it important to know how to run a Jupyter notebook for this course?,machine-learning-zoomcamp
"Based on the context provided, the basic operations regarding data analysis that you should know for this course include how to run a Jupyter notebook, how to import libraries, how to declare a variable, and some important operations regarding data analysis. It is important to have a basic understanding of Python basics for data analysis to be successful in this course.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,What basic operations regarding data analysis should I know for this course?,machine-learning-zoomcamp
"To learn how to declare variables in Python for this course, it is important to have some basics such as how to declare a variable and what variables are. You can also check out the article ""Introduction to Python – Machine Learning Bookcamp"" for more information on Python basics for data analysis.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,How can I learn to declare variables in Python for this course?,machine-learning-zoomcamp
"Yes, for the Machine Learning part of the course, all you need is a working laptop with an internet connection. For the Deep Learning part, which is more resource-intensive, you can use a cloud service like Saturn cloud or any other cloud provider.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,"Are there any specific hardware requirements for the course, or is everything mainly based on cloud services?",machine-learning-zoomcamp
"No, for the Machine Learning section of the course, all you need is a working laptop with an internet connection. The Deep Learning part may require more resources, but you can use a cloud service for that.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Do I just need a laptop and internet for the Machine Learning section?,machine-learning-zoomcamp
"Based on the context provided, the Deep Learning part of the course is more resource-intensive than the Machine Learning part, but you can use a cloud service for the Deep Learning part, such as Saturn cloud.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Is the Deep Learning part of the course more resource-intensive than the Machine Learning part?,machine-learning-zoomcamp
"Based on the context provided, Saturn Cloud can be used for the Deep Learning part of the course.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Can Saturn Cloud be used for the Deep Learning part of the course?,machine-learning-zoomcamp
"Yes, it is possible to use a cloud service other than Saturn Cloud for the Deep Learning section of the course. Some free alternatives mentioned include AWS, GCP, and Render.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Is it possible to use a cloud service other than Saturn Cloud for the Deep Learning section?,machine-learning-zoomcamp
"To install TensorFlow with GPU support on Ubuntu, you can refer to the following resources:
- Nvidia drivers installation: https://www.nvidia.com/download/index.aspx
- CUDA toolkit installation: https://developer.nvidia.com/cuda-toolkit-archive
- cuDNN installation: https://developer.nvidia.com/rdp/cudnn-download
- Guide for installing CUDA on WSL: https://docs.nvidia.com/cuda/wsl-user-guide/index.html
- Installation of TensorFlow with pip: https://www.tensorflow.org/install/pip#linux_1
- Set memory growth for Nvidia GPU in TensorFlow: https://www.tensorflow.org/api_docs/python/tf/config/experimental/set_memory_growth",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,Where can I find instructions to install TensorFlow GPU on Ubuntu?,machine-learning-zoomcamp
"Yes, here is a guide for setting up TensorFlow with GPU support on Ubuntu: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,Is there a guide to set up TensorFlow with GPU on Ubuntu?,machine-learning-zoomcamp
"To configure GPU support for TensorFlow on your Ubuntu machine, you need to set up CUDA and cuDNN. This can be overwhelming, but you can refer to a simplified guide by Osman Ali for assistance.",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,How do I configure GPU support for TensorFlow on my Ubuntu machine?,machine-learning-zoomcamp
"To install TensorFlow with GPU support on Ubuntu, you can refer to this article: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/ provided in the FAQ database.",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,Can you direct me to a resource for installing TensorFlow with GPU on Ubuntu?,machine-learning-zoomcamp
"To set up TensorFlow with GPU support on Ubuntu, you can follow this simplified guide by Osman Ali: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/.",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,What is the procedure to set up TensorFlow GPU on Ubuntu?,machine-learning-zoomcamp
"To join a channel in Slack, you can click ""All channels"" at the top of your left sidebar, or click ""More"" if you don't see this option. Then browse the list of public channels in your workspace or use the search bar to find the channel you're looking for. Once you find it, select the channel and click ""Join Channel.""","Here’s how you join a in Slack: https://slack.com/help/articles/205239967-Join-a-channel
Click “All channels” at the top of your left sidebar. If you don't see this option, click “More” to find it.
Browse the list of public channels in your workspace, or use the search bar to search by channel name or description.
Select a channel from the list to view it.
Click Join Channel.
Do we need to provide the GitHub link to only our code corresponding to the homework questions?
Yes. You are required to provide the URL to your repo in order to receive a grade",4930aa19,How can I join a channel in Slack?,machine-learning-zoomcamp
"To find course channels on Slack, you should click ""All channels"" at the top of your left sidebar. If you don't see this option, click ""More"" to find it. Then browse the list of public channels in your workspace or use the search bar to search by channel name or description. Once you find the course channel, select it and click ""Join Channel.""","Here’s how you join a in Slack: https://slack.com/help/articles/205239967-Join-a-channel
Click “All channels” at the top of your left sidebar. If you don't see this option, click “More” to find it.
Browse the list of public channels in your workspace, or use the search bar to search by channel name or description.
Select a channel from the list to view it.
Click Join Channel.
Do we need to provide the GitHub link to only our code corresponding to the homework questions?
Yes. You are required to provide the URL to your repo in order to receive a grade",4930aa19,What steps should I follow to find course channels on Slack?,machine-learning-zoomcamp
"No, the GitHub repository does not need to be public for the homework correction process.","Here’s how you join a in Slack: https://slack.com/help/articles/205239967-Join-a-channel
Click “All channels” at the top of your left sidebar. If you don't see this option, click “More” to find it.
Browse the list of public channels in your workspace, or use the search bar to search by channel name or description.
Select a channel from the list to view it.
Click Join Channel.
Do we need to provide the GitHub link to only our code corresponding to the homework questions?
Yes. You are required to provide the URL to your repo in order to receive a grade",4930aa19,Is there a need to give the URL to our GitHub repo?,machine-learning-zoomcamp
