question,document
Why does WSL2 say the model needs more memory even though my PC has enough RAM?,f3dd94f323
How can I increase the RAM available to WSL2 on Windows for running a model?,f3dd94f323
Where should I put a .wslconfig file to give WSL2 more memory?,f3dd94f323
What do I need to write in .wslconfig to set WSL2 memory to 8GB?,f3dd94f323
"After changing WSL2 memory settings, how can I check if the new RAM limit is actually applied?",f3dd94f323
Why do I get a 500 server error when I try to log into the homework site with GitHub?,c774542f32
I see a third-party login failure on the course page — is GitHub login broken right now?,c774542f32
What should I do if GitHub sign-in fails while submitting homework?,c774542f32
Is there a workaround for the GitHub login error on the homework portal?,c774542f32
"Does the GitHub login issue affect everyone, or can I use another account to submit?",c774542f32
"Why aren't we using LangChain in this course, and what should we learn first instead?",b7cdde6b25
Is there a reason the course skips LangChain for now?,b7cdde6b25
Why start without a framework like LangChain when building LLM apps?,b7cdde6b25
"Should I learn the basics before using LangChain, and why?",b7cdde6b25
What’s the idea behind not using LangChain in the course material?,b7cdde6b25
Why do I get an OpenAI API error about insufficient credits when I run `chat.completions.create`?,f5df151c59
"What does the OpenAI ""Insufficient credits"" message mean in `chat.completions.create`?",f5df151c59
I’m seeing an OpenAI API error about credits when testing chat completions — what should I check?,f5df151c59
Is the `OpenAI API Error: Insufficient credits` issue caused by my `chat.completions.create` call?,f5df151c59
What’s the reason for the credit-related error when using OpenAI chat completions?,f5df151c59
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,152af39a53
"Does OpenAI API have any free quota for this kind of request, or do I need to pay first?",152af39a53
I added billing but still get an insufficient_quota error — do I need to make a new API key?,152af39a53
Which model should I use in chat.completions.create if my current one is not available to my account?,152af39a53
What are the exact steps to fix the OpenAI quota error and get my request working again?,152af39a53
Why am I getting 'Cannot import name OpenAI from openai' when I try to use the OpenAI client?,35e1ef85a1
How do I fix the OpenAI import error in the course project?,35e1ef85a1
Do I need to upgrade the openai package if OpenAI can't be imported from openai?,35e1ef85a1
What version of openai should I use to avoid the 'Cannot import name OpenAI' error?,35e1ef85a1
My code breaks with 'Cannot import name OpenAI from openai' — what should I change?,35e1ef85a1
How much do I need to spend to start using the OpenAI API?,554d0eb78b
Is it expensive to use the OpenAI API for this course?,554d0eb78b
Do I have to put in a lot of money before I can try the OpenAI API?,554d0eb78b
What is the minimum top-up amount for the OpenAI API?,554d0eb78b
Can I get started with OpenAI API usage for just a few cents?,554d0eb78b
"Do I need to pay for the OpenAI API to finish the homework in this course, or are there free options I can use instead?",85384a18e5
"For the LLM Zoomcamp assignments, is a paid OpenAI subscription required, or can I rely on the free alternatives from the course repo?",85384a18e5
"Can I complete the course tasks without buying OpenAI API access, and where are the no-cost alternatives listed?",85384a18e5
"Is paying for OpenAI necessary for the homeworks, or does the GitHub have some free API alternatives I can use?",85384a18e5
"To do the course exercises, do I have to subscribe to OpenAI, or is there a list of free replacements somewhere in the course materials?",85384a18e5
How can I keep my API keys safe in a project without putting them in the notebook or code?,8d23fe792f
What's a simple way to save several API keys locally so I can load them later in Python?,8d23fe792f
How do I set up a YAML file for my OpenAI and Groq keys and make sure Git doesn't track it?,8d23fe792f
Which package do I need if I want to read API keys from a YAML file in a Jupyter notebook?,8d23fe792f
Can I load my secret keys from a file and use them directly instead of using environment variables?,8d23fe792f
How do I keep my API key in a .env file and read it in Python?,233dabe430
What imports do I need to load environment variables from a .env file?,233dabe430
How can I point Python to the right .env path and get the key value?,233dabe430
What's the easiest way to access API_KEY_abc after loading .env?,233dabe430
"Do I need to add my .env file to .gitignore, and why?",233dabe430
"Why does my OPENAI_API_KEY keep showing as missing inside Jupyter, and how do I fix it?",86d99bbf21
"If I already put the key in a .envrc file, why is the notebook still throwing the api_key error?",86d99bbf21
What’s the easiest way to make OpenAI API auth work in a notebook when direnv isn’t enough?,86d99bbf21
How do I use python-dotenv to load my environment variables from .envrc in Jupyter?,86d99bbf21
"Can I store OPENAI_API_KEY in GitHub Codespaces instead of setting it locally, and how do I do that?",86d99bbf21
How can I figure out the GPT-4o token count for homework 6 if I’m using Groq and there’s no tokenizer for it?,fe8fed31e6
Do I need an OpenAI API key just to check how many tokens a prompt has in this assignment?,fe8fed31e6
What library should I use to estimate the number of OpenAI tokens in question 6?,fe8fed31e6
Is there a way to count GPT-4o tokens without using the OpenAI API itself?,fe8fed31e6
"If Groq doesn’t have a tokenizer, what’s the simplest way to get the token number the homework wants?",fe8fed31e6
Can I swap OpenAI for Groq in the course exercises and final project?,ee43413718
Is it okay to use a different LLM platform instead of OpenAI for the homework?,ee43413718
"Do I need a paid API like OpenAI to finish the assignments, or can I run everything locally?",ee43413718
"If I use another model provider, will I have to change the code myself?",ee43413718
Where should I look if I want to adapt the project to a platform like Groq?,ee43413718
Can I use open-source alternatives instead of the OpenAI API for this course?,3fd5c51182
Where can I find the list of OpenAI alternatives mentioned in Module 1?,3fd5c51182
Is it okay to follow the course using an open-source LLM API rather than OpenAI?,3fd5c51182
"Does the course support non-OpenAI options, and where is that covered?",3fd5c51182
What should I check if I want to use an open-source replacement for OpenAI in the intro module?,3fd5c51182
Why am I getting RateLimitError 429 with insufficient_quota on OpenAI even though I’m not sending many requests?,6e1d8a7b29
"Does insufficient_quota mean I just need to wait and retry later, or is something wrong with my account?",6e1d8a7b29
My OpenAI API calls fail because of no credit — what’s the quickest fix to get the course working again?,6e1d8a7b29
"Can I use a free alternative instead of paying for OpenAI credit, and which ones work with the course?",6e1d8a7b29
What model or provider should I switch to if I want to avoid the quota error without adding money to OpenAI?,6e1d8a7b29
"Why does my homework query return an empty list after filtering, even though the data is there?",83da208a64
What am I missing if my Q3 filter gives no results in the LLM Zoomcamp homework?,83da208a64
Could this be an indexing problem if the search comes back empty after I apply the filter?,83da208a64
Do I need to set up the index differently before loading the data for this assignment?,83da208a64
How should I fix the empty results issue in HW Q3 when using filters and queries?,83da208a64
Why am I getting a SyntaxError about an invalid character when I run the minsearch file I downloaded?,f3a92e7c81
Did I probably save the GitHub page instead of the actual Python source for minsearch?,f3a92e7c81
What’s the right way to download minsearch from GitHub so I can run it without that weird character error?,f3a92e7c81
Is there a better way to install minsearch than copying the file from GitHub by hand?,f3a92e7c81
Should I use pip or uv to install minsearch instead of downloading the raw code?,f3a92e7c81
Why do I get ModuleNotFoundError when I try to import docx in parse-faq.ipynb?,cf93377279
Is the package name for docx actually python-docx?,cf93377279
What should I install if import docx keeps failing in the notebook?,cf93377279
How do I fix the docx import issue in parse-faq.ipynb?,cf93377279
Do I need to pip install python-docx instead of docx?,cf93377279
"How can I check token usage for Gemini, Mistral, or Hugging Face models if tiktoken is really meant for OpenAI only?",4d8c1f5b3a
Is it okay to use cl100k_base as a fallback tokenizer for other LLM providers when I want an estimate?,4d8c1f5b3a
What is the recommended way to count tokens in Gemini with the official SDK?,4d8c1f5b3a
How do I get token counts for open-source models like Llama using Transformers?,4d8c1f5b3a
Which tokenizer should I use for Mistral instead of trying to rely on OpenAI-style token counting?,4d8c1f5b3a
Why do I get a different token count in tiktoken than what OpenAI shows in the API response?,bf0403d21b
"How come my prompt has 320 tokens locally, but OpenAI says 327 for the same request?",bf0403d21b
Does chat.completions.create add extra tokens beyond the text I send?,bf0403d21b
What makes OpenAI count more tokens than just encoding the visible message content?,bf0403d21b
"Can whitespace, newlines, or weird Unicode characters change the token total in OpenAI chat requests?",bf0403d21b
How can I set my API key once so I don’t have to export it in every new terminal?,8b2f5e9d04
Is there a way to make env vars load automatically when I enter a project folder?,8b2f5e9d04
What’s the easiest setup for keeping my OpenAI key in a project without putting it in the code?,8b2f5e9d04
How should I handle API keys in GitHub Codespaces so they aren’t stored in the repo?,8b2f5e9d04
"If I’m running Python scripts, what can I use to load a .env file automatically?",8b2f5e9d04
"How do I install Ollama on macOS, Windows, or Linux for this course?",1d0b969028
What should I run after installing Ollama to download and start LLaMA 3 locally?,1d0b969028
How can I quickly check if the Ollama server is actually running on my machine?,1d0b969028
"After installing Ollama, how do I get the Python package and use it from a script?",1d0b969028
What’s the simplest example of calling Ollama chat from Python with a prompt?,1d0b969028
"Why am I getting a connection refused error when I prompt my Ollama RAG, and how do I fix it?",c6fc2d4d11
My homework throws connection refused with Ollama — do I need to restart the server somehow?,c6fc2d4d11
What should I run again if Ollama stops working after I restart the notebook cell?,c6fc2d4d11
Is there a command to bring Ollama back up when the RAG prompt fails with connection refused?,c6fc2d4d11
I closed or restarted the notebook and now Ollama won’t respond; what’s the quickest way to recover it?,c6fc2d4d11
Which free Groq models support tool use right now?,0d74a3616f
Can I use Deepseek R1 with tools on Groq without paying?,0d74a3616f
Does Llama 4 on Groq work for tool calling in dev?,0d74a3616f
Are there any no-cost models I can test with tool use support?,0d74a3616f
Where can I read the docs for Groq tool use and free models?,0d74a3616f
Why do I get `RuntimeError: Already running asyncio in this thread` in Jupyter when I use `asyncio.run()`?,7c4e1a3b58
"In a notebook, what should I do instead of `asyncio.run(main())` for an async function?",7c4e1a3b58
"For the agents homework, should I use `mcp.run()` or `mcp.run_async()` in the notebook?",7c4e1a3b58
How do I start the FastMCP server for the homework without hitting the asyncio error?,7c4e1a3b58
"When the homework says to run the server, do I launch `python weather_server.py` in Jupyter or in a terminal?",7c4e1a3b58
Why does my MCP tool complain that it wanted a number even though I sent a float?,5beafdd0c8
"In FastMCP, is a Python float not considered valid for a numeric tool argument?",5beafdd0c8
"When I define a tool input schema, should I think in Python types or JSON types?",5beafdd0c8
How do I make sure the arguments I send to a tool match its schema correctly?,5beafdd0c8
Does the JSON Schema type number include both ints and floats?,5beafdd0c8
Which non-OpenAI APIs actually work for tool calling in this module?,2a8f6c4d91
"Does Groq support function calling, and if yes, which model should I try?",2a8f6c4d91
"Can I use Mistral or Gemini for tool use here, or are they missing something compared with OpenAI?",2a8f6c4d91
"Is Ollama okay for local tool calling in the agents homework, and what model/setup does it need?",2a8f6c4d91
"If I switch away from OpenAI, what parts of chat_assistant.py or mcp_client.py usually need changes?",2a8f6c4d91
How do I install the MCP Inspector for this course?,d09e8d4843
What command should I run to get the MCP Inspector installed?,d09e8d4843
Do I need Node.js first before installing the MCP Inspector?,d09e8d4843
What’s the npm install command for the MCP Inspector package?,d09e8d4843
I’m on Module 2 Agents — how can I set up the MCP Inspector?,d09e8d4843
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I call OpenAI Responses API with a non-OpenAI model?,9e7b3f0c25
"Can I use `client.responses.create(...)` and `response.output` with Mistral, Groq, or Gemini in my agent code?",9e7b3f0c25
What should I use instead of the Responses API if I'm switching my LLM provider away from OpenAI?,9e7b3f0c25
How do I read the assistant reply from chat completions when the provider doesn't support OpenAI's Responses API?,9e7b3f0c25
Do I need to change my tools schema too when I move from OpenAI to another model provider?,9e7b3f0c25
How do I start the MCP Inspector from the terminal?,42c7af7ed5
What command should I run to open the MCP Inspector?,42c7af7ed5
Is there a simple npx command for launching the MCP Inspector?,42c7af7ed5
How can I run the Model Context Protocol Inspector locally?,42c7af7ed5
What’s the terminal command to inspect MCP with the Inspector tool?,42c7af7ed5
How do I connect the inspector to an MCP server in this module?,9c2fd5451c
Can the MCP inspector show the tools and other things exposed by a server?,9c2fd5451c
What can I check inside an MCP server using the inspector?,9c2fd5451c
Is there a way to test my MCP server without writing extra code?,9c2fd5451c
Where can I find a quick guide for using MCP Inspector with my server?,9c2fd5451c
"Why do I get ""asyncio.run() cannot be called from a running event loop"" in Jupyter, and what should I use instead?",f96fde1726
"In a notebook cell, why does calling `asyncio.run(main())` fail even though the same code works in a script?",f96fde1726
What’s the right way to run an async function in Jupyter without hitting the asyncio runtime error?,f96fde1726
"How can I fix the ""already running asyncio"" error when using `Client(weather_server.mcp)` inside a notebook?",f96fde1726
Is there a reason I should use `await main()` instead of `asyncio.run(main())` in Jupyter notebooks?,f96fde1726
Why am I getting a 400 missing required parameter for tools[0].function in Azure OpenAI?,b9c7c6bb34
What should the get_weather_tool JSON look like to fix the tools[0].function error?,b9c7c6bb34
How do I define a weather function tool so Azure OpenAI accepts it?,b9c7c6bb34
My Azure OpenAI request fails with missing tools[0].function — what am I doing wrong?,b9c7c6bb34
Can you show the correct function tool schema for get_weather in Module 2 agents?,b9c7c6bb34
"What do embeddings mean in vector search, and why do we convert text into numbers?",69430a79a8
How can an embedding keep the meaning of words or documents when turning them into numerical values?,69430a79a8
Why do similar inputs end up with close vectors in an embedding model?,69430a79a8
How are embeddings used to measure semantic similarity between pieces of text?,69430a79a8
"What is the connection between embeddings, vector space models, and dimensionality reduction?",69430a79a8
How do I get rid of the warning about multi-qa-mpnet-base-dot-v1 and sentence-transformers bet?,aa3f597424
What should I install to suppress the model warning in vector search?,aa3f597424
Is there a fix for the message saying this model was made with sentence-transformers v3?,aa3f597424
Which sentence-transformers version do I need so that the warning stops showing up?,aa3f597424
How can I upgrade my setup to avoid that bet warning from the embedding model?,aa3f597424
"Why did the lesson use `.dot(...)` for cosine similarity, but the homework says to normalize first?",92cd22cada
"Are the embeddings from `model.encode(...)` already unit-length, or do I need to normalize them myself?",92cd22cada
When is dot product the same as cosine similarity in vector search?,92cd22cada
Why doesn’t dot product work as cosine similarity for TF-IDF + SVD embeddings?,92cd22cada
"In the homework, what changes if I skip vector normalization before comparing documents?",92cd22cada
"For vector search, do I index the question, the answer, or both together?",5c4a8d2e60
Is it better to embed just the answer text or the question text when building the vector index?,5c4a8d2e60
"Why would combining the question and answer into one embedding help, and is it worth the extra cost?",5c4a8d2e60
How do I decide which embedding setup gives the best retrieval results on my data?,5c4a8d2e60
"Does the course recommend one embedding strategy for vector search, or is it something I need to test myself?",5c4a8d2e60
How does cosine similarity measure how close two vectors are in text search?,db78580409
Why is cosine similarity used for comparing documents instead of just their raw word counts?,db78580409
"What does it mean if cosine similarity is 1, 0, or -1 between two vectors?",db78580409
"Can cosine similarity be used with TF-IDF vectors, and why does that help in document comparison?",db78580409
"What kind of vectors can cosine similarity compare, and what does the angle between them tell us?",db78580409
Why can cosine similarity be computed with a matrix multiply once the embeddings are normalized?,95feb4e75b
"What changes when the vectors are unit length, and why does that make cosine similarity easier to calculate?",95feb4e75b
How does normalizing the document embeddings and query help turn cosine similarity into a dot product?,95feb4e75b
"Why do we say cosine similarity ignores vector size, and how does that connect to matrix multiplication?",95feb4e75b
"In vector search, why is it enough to compare normalized embeddings with the query using dot products?",95feb4e75b
Why am I getting `JSONDecodeError: Expecting value` when I try to parse the LLM output with `json.loads`?,a3c7e1b4f9
How can I make the model return only valid JSON instead of wrapping it in a code block or extra text?,a3c7e1b4f9
What should I add to my prompt so the LLM outputs a JSON object with a `questions` list and nothing else?,a3c7e1b4f9
Can I force structured JSON output with OpenAI when generating ground-truth questions for evaluation?,a3c7e1b4f9
Do other LLM APIs like Gemini or Groq have a way to return JSON directly?,a3c7e1b4f9
Why does my Jupyter kernel die when I try to embed the ground-truth data in Module 4?,b8f2d6a30c
What can I do on a low-RAM machine if the notebook crashes while loading the embedding model?,b8f2d6a30c
"Is there a smaller embedding model I can swap in to avoid memory issues, and will that affect my eval results?",b8f2d6a30c
Would it help if I move the embedding part out of the notebook and run it as a separate script?,b8f2d6a30c
How can I handle the ground-truth embeddings in batches so I don’t run out of memory?,b8f2d6a30c
Why does adding `time.sleep(4)` still not prevent me from hitting Gemini limits while creating the ground-truth dataset?,c1e9f4b820
What can I do if the free Gemini quota runs out in the middle of a long `tqdm` loop?,c1e9f4b820
"Is it worth switching to OpenAI `gpt-4o-mini` instead of Gemini for dataset generation, and why?",c1e9f4b820
"Can I use Groq’s free tier for this task, and which model should I pick?",c1e9f4b820
How should I change my thread pool or save progress so I can continue after a rate-limit error?,c1e9f4b820
How do I fix the WinError 126 message when torch tries to load fbgemm.dll on Windows?,15e931476c
"If I get ""The specified module could not be found"" for fbgemm.dll in Python on Windows, what should I install?",15e931476c
Does this torch fbgemm.dll import error usually mean I need Visual C++ Redistributable or Visual Studio on Windows?,15e931476c
I'm seeing a missing dependency error for fbgemm.dll in PyTorch on Windows 10/11 — what’s the workaround?,15e931476c
What can I do when Python says it can’t load torch\lib\fbgemm.dll because a module is missing?,15e931476c
"Why am I getting a psycopg2 OperationalError that says it can’t translate host name ""postgres"" when I run prep.py?",4b65d5542d
"How do I fix the ""could not translate host name postgres to address"" error in prep.py?",4b65d5542d
What should I change in my .env file if postgres host is not found when running the monitoring prep script?,4b65d5542d
Is there a reason I need to set POSTGRES_HOST to localhost instead of postgres for this error?,4b65d5542d
My python prep.py crashes with OperationalError about postgres host resolution — what’s the correct env setting to use?,4b65d5542d
How do I make Pandas show the full text in a column instead of cutting it off?,641aedbbf5
Is there a setting to stop Pandas from truncating long strings in DataFrame columns?,641aedbbf5
"In the offline-rag-evaluation notebook, how can I see the whole Explanation text from the judge LLM?",641aedbbf5
"Why does Pandas only display part of my column text, and how can I change that?",641aedbbf5
"What option do I need to set so a column with long text shows everything, not just 50 characters?",641aedbbf5
How can I normalize a vector stored in a Pandas DataFrame column?,5039707c1a
What’s the easiest way to make every vector in a Pandas Series have length 1?,5039707c1a
Is there a simple Pandas apply example for normalizing vectors in one column?,5039707c1a
How do I divide each vector by its own norm inside a DataFrame column?,5039707c1a
Can I normalize a whole column of numpy vectors with a lambda function in Pandas?,5039707c1a
How do I get the 75th percentile for a column in a Pandas DataFrame?,b4c8ac5a0c
What’s the Pandas way to calculate a 0.75 quantile on a Series?,b4c8ac5a0c
How can I find a column’s percentile value in Pandas without using numpy?,b4c8ac5a0c
Is there a simple method in Pandas to compute a quantile for one column?,b4c8ac5a0c
How do I extract the 75% cutoff from a DataFrame column using Pandas?,b4c8ac5a0c
"How do I wipe out every Docker container from the terminal, even the ones still running?",66ccbb7da0
What’s the command to force-remove all Docker images at once?,66ccbb7da0
How can I delete every Docker volume using the command line?,66ccbb7da0
"Is there a quick way to clean up all containers, images, and volumes in Docker without doing them one by one?",66ccbb7da0
"What terminal commands should I run to fully clear Docker stuff like containers, images, and volumes?",66ccbb7da0
"How can I make sure a user can only send feedback once per submission in Streamlit, like just +1 or -1?",2e729f1271
Why does `st.session.submitted` keep getting set back to `True` even after I click one of the feedback buttons?,2e729f1271
"After I press the ask button, what’s the right way to disable the buttons until the submission state changes?",2e729f1271
Is there a known Streamlit session-state issue where a session flag gets reassigned unexpectedly after a button click?,2e729f1271
Where can I find the fix for the problem where `st.session.submitted` changes again after feedback is given?,2e729f1271
"Why does my streamlit app fail in docker-compose with ""streamlit: executable file not found in $PATH"", even though it works locally?",e8df9f0d12
"Do I need a Dockerfile when running a streamlit app with docker-compose, or is compose config enough?",e8df9f0d12
How do I fix the OCI runtime error when docker-compose says it can't find the streamlit command?,e8df9f0d12
What should I change in docker-compose so my streamlit container starts correctly?,e8df9f0d12
"After adding streamlit to docker-compose, do I need to rebuild the image or just restart the containers?",e8df9f0d12
"Is the capstone project something we do alone, or can it be a group project?",0fab61eca2
"Do students work in teams for the capstone, or is it individual only?",0fab61eca2
"Can I team up with someone for the capstone, or do I have to do it solo?",0fab61eca2
Is the final capstone meant to be completed by one person or by a group?,0fab61eca2
"For the capstone, do we need partners or is it a solo assignment?",0fab61eca2
"Do I have to submit two separate capstone projects, or is one project enough for the course?",d5fc98925d
What exactly do attempt 1 and attempt 2 mean for the capstone submission timeline?,d5fc98925d
"If my first capstone submission doesn’t pass, can I fix it and send it again later?",d5fc98925d
"Can I submit two projects just to get more practice, and if so do they need to be on different topics?",d5fc98925d
"If I miss the first submission window, do I still have a chance to submit in the second one and stay eligible?",d5fc98925d
"Is the competition itself accepted as the capstone project, or is the capstone supposed to be something else?",e892d44e42
Can I join the math-kaggle LLM competition with a team and still use that for my capstone?,e892d44e42
"If I want to form a group for the competition, does that replace the individual capstone requirement?",e892d44e42
"Does taking part in the competition count toward the capstone, or do I still need to do an individual project?",e892d44e42
Can the capstone be done as a team if I'm already participating in the competition?,e892d44e42
How will my capstone project be graded?,9a2e2d2008
Who actually reviews the capstone submissions?,9a2e2d2008
Do I need to evaluate other students' projects too?,9a2e2d2008
What happens if I skip the peer-review part?,9a2e2d2008
How is the final score for the capstone calculated?,9a2e2d2008
"When do we get the projects to review and grade, and how are they assigned?",eae0fb50aa
Will project review assignments come before or after the submission deadline?,eae0fb50aa
How many projects does each participant have to grade in the capstone project?,eae0fb50aa
What happens once the submission deadline is over for project grading?,eae0fb50aa
"Do we get an Excel sheet with the review assignments, and what will it include?",eae0fb50aa
"I already turned in my capstone project, so why am I not seeing anything to review yet?",a8a7fef016
When do the projects for evaluation get assigned after the submission deadline ends?,a8a7fef016
"Can I pick which capstone projects I want to review, or is that decided for me?",a8a7fef016
Is there any way to start reviewing submissions before the project list is released?,a8a7fef016
"I submitted my project already, but I still can't review others — is that normal?",a8a7fef016
Where can I look for project ideas and datasets for the capstone project?,e76a70cde3
Is there a place with a few dataset options and example ideas for the LLM Zoomcamp project?,e76a70cde3
What’s the best link to check for capstone project inspiration and data sources?,e76a70cde3
"Can you point me to a GitHub page that lists project ideas, datasets, and some guidance?",e76a70cde3
I’m stuck on picking a project — where can I find suggestions and usable datasets?,e76a70cde3
"Do I have to use Airflow, Mage, or Kestra for the capstone project, or is a simple Python script enough?",d4f7c08ea1
"If I build the ingestion and indexing steps in a Jupyter notebook, will that count for the full pipeline points?",d4f7c08ea1
When does it actually make sense to add an orchestrator to a capstone project instead of just using Python?,d4f7c08ea1
Can I still get the ingestion pipeline criterion without setting up a workflow tool at all?,d4f7c08ea1
"Should I avoid adding an orchestration tool just for grading, and only use one if my data gets updated regularly?",d4f7c08ea1
How can I evaluate a recommender-style RAG project if I don't have clear ground-truth answers?,9b0e2d6a47
Is there a good way to create test queries for items in my dataset so I can measure retrieval quality?,9b0e2d6a47
"What metrics should I use for a ranking-style RAG system: hit rate, MRR, or NDCG?",9b0e2d6a47
How do I use an LLM as a judge to score the output of my RAG pipeline end to end?,9b0e2d6a47
"For recommenders where several items could be acceptable, why would NDCG be better than just checking whether the top result is correct?",9b0e2d6a47
How should I chunk a big PDF corpus without overthinking it at first?,6f2a8b3d10
Is it better to use fixed-size chunks or ask an LLM to split docs into sections?,6f2a8b3d10
"Should I add summaries to each chunk before indexing, and does that actually help retrieval?",6f2a8b3d10
"For long legal or financial docs, is BM25 plus dense search better than only embeddings?",6f2a8b3d10
What are good tools to turn PDFs into cleaner markdown before I chunk them?,6f2a8b3d10
What does reproducibility mean for the project review?,e5d8a2c761
Do I need to put my API keys or service credentials in the repo so the reviewer can run it?,e5d8a2c761
How should I let someone rebuild the search index from the dataset on their own machine?,e5d8a2c761
"What should go into a .env.example file, and should .env be committed?",e5d8a2c761
"How do I make the project easier and cheaper for reviewers to run, like with model choice and pinned versions?",e5d8a2c761
"Can I reuse the workshop content in my own capstone project, or is it only for the class?",d850a0e7ea
"Since dlt is open-source, am I allowed to use these materials in another project outside the workshop?",d850a0e7ea
"Could I apply what we learned here to a different Zoomcamp project, like the MLOps one?",d850a0e7ea
"Is it okay if I share the workshop resources with other people, or are they meant just for students?",d850a0e7ea
"If I want to use dlt directly in my own project, do I need any special permission, or can I just go ahead and do it?",d850a0e7ea
How do I start a new dlt project for loading data from cloud storage?,6bceeebf04
What's the command to initialize a dlt pipeline with filesystem and DuckDB?,6bceeebf04
"If I want to ingest cloud files into DuckDB with dlt, what should I run first?",6bceeebf04
How can I create a fresh dlt setup for a filesystem source?,6bceeebf04
Is there a quick init command for a dlt project using filesystem plus DuckDB?,6bceeebf04
"Why do I get `Table notion_pages___homework does not exist` when I call `db.open_table(""notion_pages___homework"")`?",0407213397
"I changed the table name in one place, but now opening `notion_pages___homework` still fails. What am I missing?",0407213397
"What could cause `db.open_table(""notion_pages___homework"")` to say the table doesn't exist even though my pipeline ran?",0407213397
Is there another setting besides the table name I need to update when switching from `employee_handbook` to `homework`?,0407213397
How do I fix the `FileNotFoundError` for `notion_pages___homework` in the dlt workshop?,0407213397
Why am I getting FileNotFoundError: Table notion_pages___homework does not exist when I run main() in the dlt workshop?,e95bfafc0e
"How do I fix the error saying I should first call db.create_table(notion_pages___homework, data) in the Notion pages homework code?",e95bfafc0e
What table name should I open in line 3 if my script says notion_pages___homework doesn't exist?,e95bfafc0e
"Is db.open_table supposed to use notion_pages___homework in this exercise, and where exactly should I change it?",e95bfafc0e
I keep seeing Table notion_pages___homework does not exist — what’s the correct table to open in main()?,e95bfafc0e
How can I list all tables that are currently in the database?,e394e6f738
Is there a way to see the table names from the db object?,e394e6f738
What method should I use to check which tables exist in my database?,e394e6f738
How do I find out what tables were created in the db?,e394e6f738
Can I get a list of all tables with db.table_names()?,e394e6f738
"Does dlt currently support connectors for ClickHouse or StarRocks, or is that still missing?",cd19f122f3
Can I use dlt to load data into ClickHouse or StarRocks right now?,cd19f122f3
